,Kincaid,ARI,Coleman-Liau,FleschReadingEase,GunningFogIndex,LIX,SMOGIndex,RIX,DaleChallIndex,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,directspeech_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
PG10002,5.794542187903875,7.301197653388858,7.455602895177339,84.6776516326362,10.351692212999433,33.9755276958682,9.633764085235963,2.8832764505119455,3.9805521653651468,4.24290842405088,1.2340512700456514,17.49419795221843,2930.0,0.11046080611806937,0.053583617747440276,217483,63255,51258,5662,2930,1,8448,4298,10105,1616,495,160,900,356,418,57,291,122
PG10008,3.8538288309281086,4.80254672414204,6.9997636169096324,88.77031405400535,8.203424110442858,29.265543310465887,8.536388542442051,2.0708105244570016,3.762776820580931,4.2977757469451525,1.2518314343410522,11.980045912060746,5663.0,0.1258936072992055,0.39131202542821825,291574,84928,67843,8541,5663,1,11727,5786,13614,1868,790,149,1325,379,637,108,555,120
PG10027,7.101628207519287,9.02997070302417,7.75194360874627,81.40958754094696,11.580448935928954,37.23706220252629,10.09931940021356,3.4134938409854425,3.7088847127366393,4.246196255804306,1.2315700731978214,20.92077267637178,3572.0,0.09095531855103106,0.5965845464725644,317314,92034,74729,6797,3572,1,12193,6001,12642,2465,771,42,580,206,844,64,420,79
PG10046,4.593037470744509,5.98769366420391,5.988445621512881,92.70704526494694,8.808756594266681,29.97258222198841,8.000734699879066,2.198383541513593,3.4741105172642466,3.998887117312816,1.1430803308685835,17.16587068332109,5444.0,0.09710971525184321,0.2635929463629684,373700,106822,93451,9075,5444,1,11968,4538,15522,3142,1369,309,1898,531,504,109,488,141
PG10048,4.5370612525631415,5.793477201643576,6.525644682699376,90.40697392950588,8.729349567268557,28.560327244154486,8.383896429356874,2.020488856937455,3.133310579343874,4.118660418963616,1.1884647188533628,15.649173256649892,2782.0,0.09920525542080118,0.7458662832494608,179310,51741,43536,4319,2782,1,5621,2688,6499,1205,551,117,268,117,227,39,102,39
PG10049,6.853639838097212,8.270246109197537,7.029874720102249,82.46144690188936,11.244863675745833,33.940167222959616,9.838424156472033,2.754307116104869,3.2177291721116363,4.128172357129816,1.2240277524192076,20.51310861423221,1335.0,0.12181851378491874,0.3752808988764045,113050,33520,27385,3336,1335,1,3677,2081,3816,1253,553,127,463,94,252,35,84,12
PG10057,5.1405397434344415,6.185306339930264,7.357588863049539,84.85387012031629,9.371417754423874,32.22499983084789,9.16487747532052,2.5828571428571427,3.395724492584044,4.274951300561476,1.2623658378213207,14.960571428571429,3500.0,0.12434589969825446,0.44142857142857145,223845,66100,52362,6511,3500,1,9040,4434,8800,1607,661,242,854,284,513,62,209,76
PG10059,5.838183855480633,7.10396408096862,7.853670783108676,82.15856352520933,10.446052909509108,33.60683260575949,9.934113106762336,2.820546163849155,3.8681484472636707,4.332526698932043,1.2786888524459021,16.2555266579974,3076.0,0.13169473221071157,0.614109232769831,216635,63937,50002,6585,3076,1,8676,4930,9696,1514,654,96,529,200,538,67,216,56
PG10066,3.425697895932018,4.269107095528586,5.937924597016028,93.46957668761173,7.496546319427489,26.40039637569978,7.755678897377364,1.7415213946117274,3.0670507279763273,4.08738078851637,1.1853062629043358,12.895087163232963,6310.0,0.08691377445678891,0.4066561014263074,332582,96446,81368,7072,6310,1,10989,4757,12509,2641,898,630,1519,519,519,152,347,146
PG10067,4.182989790993208,5.082978495452643,6.347698100833238,90.37399673778401,8.838159797851063,29.71909666562754,8.798634414569133,2.203782794386821,3.166406846430497,4.121077196197457,1.2061762684686748,14.205409802725239,4917.0,0.08807696712862215,0.5855196257880821,287849,84249,69848,6152,4917,1,10836,5511,10890,2590,1036,288,1114,281,541,98,174,77
