id	title	author	gender	year-birth	year-death	year-worldcat	year-ref	language	translation	downloads	subjects	shortauthor	shorttitle	worldcaturl	Western	Adventure	Love	War	Humour	Sea	Pulp fiction	SciFi & Fantasy	General fiction	Mystery & Detective stories	Juvenile	Translations
PG66248	The Texas Hawks; or, The Strange Decoy	Badger, Jos. E. (Joseph Edward)		1848.0	1909.0	1871.0	1871	['en']		61	{'Dime novels', 'Brigands and robbers -- Fiction', 'Kiowa Indians -- Fiction', 'Texas -- Fiction'}	Jos+Badger	Texas+Hawks	https://www.worldcat.org/search?q=Jos+Badger+Texas+Hawks&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	1	0	0	0	0	0
PG50246	Running to Waste: The Story of a Tomboy	Baker, George M. (George Melville)		1832.0	1890.0	2007.0	1871	['en']		10	{'Gender identity -- Juvenile fiction', 'Girls -- Conduct of life -- Juvenile fiction', 'Responsibility -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', 'Maine -- Juvenile fiction', 'Mothers and daughters -- Juvenile fiction', 'Paralysis -- Juvenile fiction'}	George+Baker	Running+Waste	https://www.worldcat.org/search?q=George+Baker+Running+Waste&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	0	1	0
PG49170	Summer Days	Baker, George M. (George Melville)		1832.0	1890.0	2007.0	1871	['en']		7	"{'Friendship -- Juvenile fiction', 'Children -- Conduct of life -- Juvenile fiction', 'Vacations -- Juvenile fiction', 'Brothers and sisters -- Juvenile fiction', 'Conduct of life -- Juvenile fiction', ""Children's stories"", 'Seashore -- Juvenile fiction'}"	George+Baker	Summer+Days	https://www.worldcat.org/search?q=George+Baker+Summer+Days&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	0	1	0
PG21740	The Iron Horse	Ballantyne, R. M. (Robert Michael)		1825.0	1894.0	1871.0	1871	['en']		28	{'Biographical fiction', 'Telegraph -- Juvenile fiction', 'Engineering -- Juvenile fiction', 'Industrialization -- Juvenile fiction', 'Voyages and travels -- Juvenile fiction', 'Railroads -- Juvenile fiction'}	Ballantyne	Iron+Horse	https://www.worldcat.org/search?q=Ballantyne+Iron+Horse&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	0	0	1	0
PG29623	The Cuckoo Clock	Barefoot, Wesley				1871.0	1871	['en']		17	{'Short stories', 'Science fiction'}	Wesley+Barefoot	Cuckoo+Clock	https://www.worldcat.org/search?q=Wesley+Barefoot+Cuckoo+Clock&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG37725	The Fisher Girl	Bjørnson, Bjørnstjerne		1832.0	1910.0	1871.0	1871	['en']		25	{'Bildungsromans', 'Norway -- Fiction', 'Young women -- Fiction'}	Bjørnstjerne+Bjørnson	Fisher+Girl	https://www.worldcat.org/search?q=Bjørnstjerne+Bjørnson+Fisher+Girl&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	1	0	0	0
PG44559	Nightmare Tales	Blavatsky, H. P. (Helena Petrovna)		1831.0	1891.0	1892.0	1871	['en']		131	{'Fantasy fiction', 'Dreams -- Fiction'}	Blavatsky	Nightmare+Tales	https://www.worldcat.org/search?q=Blavatsky+Nightmare+Tales&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	1	0	0	0	0
PG9475	The Lovels of Arden	Braddon, M. E. (Mary Elizabeth)		1835.0	1915.0	1871.0	1871	['en']		17	{'Man-woman relationships -- Fiction', 'England -- Social life and customs -- Fiction'}	Braddon	Lovels+Arden	https://www.worldcat.org/search?q=Braddon+Lovels+Arden&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	0	0	0	0	0	1	0	0	0
PG65882	The Battle of Dorking	Chesney, George Tomkyns		1830.0	1895.0	1871.0	1871	['en']		99	{'Imaginary wars and battles -- Fiction', 'Fantasy fiction', 'War stories'}	George+Chesney	Battle+Dorking	https://www.worldcat.org/search?q=George+Chesney+Battle+Dorking&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	0	0	1	0	0	0	1	0	0	0	0
PG65629	The Boy Ranger; or, The Heiress of the Golden Horn	Coomes, Oll		1845.0	1921.0	1871.0	1871	['en']		7	{'Dime novels', 'Arapaho Indians -- Fiction', 'Frontier and pioneer life -- Fiction', 'Dakota Indians -- Fiction', 'Adventure stories'}	Oll+Coomes	Ranger+Heiress	https://www.worldcat.org/search?q=Oll+Coomes+Ranger+Heiress&fq=&dblist=638&qt=sort&se=yr&sd=asc&qt=sort_yr_asc	0	1	0	0	0	0	1	0	0	0	0	0
